SequenceID	ClusterID
seq_13395	993
seq_13396	964
seq_13397	994
seq_13398	995
seq_13399	609
seq_13400	996
seq_13401	997
seq_13402	998
seq_13403	999
seq_13404	1000
seq_13406	743
seq_13407	1001
seq_13408	830
seq_13409	1002
seq_13410	1003
seq_13411	859
seq_13412	694
seq_13413	1004
seq_13414	806
seq_13415	1005
seq_13416	1006
seq_13417	665
seq_13419	1007
seq_13420	781
seq_13421	722
seq_13422	1008
seq_13423	666
seq_13424	539
seq_13425	669
seq_13426	1009
seq_13427	1010
seq_13428	1011
seq_13429	1012
seq_13430	1013
seq_13431	895
seq_13432	1014
seq_13433	1015
seq_13434	1016
seq_13435	988
seq_13436	973
seq_13437	1017
seq_13438	990
seq_13439	1018
seq_13440	1019
seq_13441	755
seq_13442	1020
seq_13443	1021
seq_13444	709
seq_13445	942
seq_13446	6
seq_13447	970
seq_13448	1022
seq_13449	1023
seq_13450	837
seq_13451	935
seq_13452	549
seq_13453	745
seq_13454	1024
seq_13455	1025
seq_13456	878
seq_13457	1026
seq_13458	1027
seq_13459	992
seq_13460	1028
seq_13461	784
seq_13462	1029
seq_13463	1030
seq_13464	539
seq_13465	669
seq_13466	721
seq_13467	964
seq_13468	1031
seq_13469	1032
seq_13470	1033
seq_13471	1034
seq_13472	1035
seq_13473	823
seq_13474	667
seq_13475	1036
seq_13476	1037
seq_13478	1038
seq_13479	1039
seq_1348	209
seq_13480	1040
seq_13481	1041
seq_13482	1042
seq_13483	1043
seq_13484	1044
seq_13485	1016
seq_13486	1045
seq_13487	1046
seq_13488	744
seq_13489	912
seq_13490	971
seq_13491	1047
seq_13492	1048
seq_13493	799
seq_13494	943
seq_13495	800
seq_13496	1049
seq_13497	1050
seq_13498	847
seq_13499	1051
seq_135	24
seq_13500	1052
seq_13501	1044
seq_13502	420
seq_13503	973
seq_13504	843
seq_13505	1053
seq_13506	1054
seq_13507	1055
seq_13508	1056
seq_13509	1057
seq_13510	846
seq_13511	867
seq_13512	1058
seq_13513	1059
seq_13514	1060
seq_13515	940
seq_13516	755
seq_13517	1061
seq_13518	1062
seq_13519	1063
seq_13520	1064
seq_13521	1065
seq_13522	944
seq_13523	1066
seq_13524	1067
seq_13525	1068
seq_13526	735
seq_13527	1069
seq_13528	1020
seq_13529	1070
seq_13530	1071
seq_13531	727
seq_13532	1043
seq_13533	713
seq_13534	942
seq_13535	936
seq_13536	812
seq_13537	1072
seq_13538	729
seq_13539	1073
seq_13540	1055
seq_13541	721
seq_13542	543
seq_13543	846
seq_13544	681
seq_13545	1074
seq_13546	1075
seq_13547	1076
seq_13548	1077
seq_13549	1078
seq_13550	1079
seq_13551	894
seq_13552	949
seq_13553	950
seq_13554	1080
seq_13555	951
seq_13556	1055
seq_13558	1081
seq_13559	761
seq_13560	1082
seq_13561	902
seq_13562	1083
seq_13563	1084
seq_13564	1085
seq_13565	1086
seq_13566	854
seq_13567	829
seq_13568	754
seq_13569	1087
seq_13570	1088
seq_13571	1089
seq_13572	1090
seq_13573	990
seq_13574	1091
seq_13575	929
seq_13576	773
seq_13577	674
seq_13578	944
seq_13579	1092
seq_13580	1093
seq_13581	1094
seq_13582	756
seq_13583	936
seq_13584	889
seq_13585	757
seq_13586	710
seq_13587	1095
seq_13588	0
seq_13589	800
seq_1359	197
seq_13590	1096
seq_13591	1097
seq_13592	854
seq_13593	719
seq_13595	749
seq_13596	863
seq_13597	666
seq_13598	1061
seq_13599	855
seq_1360	164
seq_13600	1098
seq_13601	811
seq_13602	1099
seq_13603	1100
seq_13604	1101
seq_13605	1102
seq_13606	1103
seq_13607	1104
seq_13608	1105
seq_13609	1106
seq_13610	1107
seq_13611	718
seq_13612	1108
seq_13613	826
seq_13614	1109
seq_13615	1110
seq_13616	778
seq_13617	1022
seq_13618	743
seq_13619	838
seq_13620	698
seq_13621	1111
seq_13622	1112
seq_13623	1029
seq_13624	1113
seq_13625	1114
seq_13626	1000
seq_13627	1115
seq_13628	1116
seq_13629	1117
seq_13630	1118
seq_13631	751
seq_13632	852
seq_13633	1119
seq_13634	1120
seq_13635	1121
seq_13637	539
seq_13638	1122
seq_13639	781
seq_13641	1087
seq_13642	722
seq_13643	945
seq_13644	789
seq_13645	1123
seq_13646	1026
seq_13647	786
seq_13648	678
seq_13649	1124
seq_13650	929
seq_13651	1125
seq_13652	1126
seq_13653	1127
seq_13654	763
seq_13655	854
seq_13656	808
seq_13657	1010
seq_13658	724
seq_13659	1128
seq_13660	1129
seq_13661	1130
seq_13662	1131
seq_13663	1132
seq_13664	1133
seq_13665	1134
seq_13666	773
seq_13667	1135
seq_13668	827
seq_13669	1136
seq_13670	869
seq_13671	1137
seq_13672	1138
seq_13673	1139
seq_13674	741
seq_13675	1140
seq_13676	1141
seq_13677	0
seq_13678	549
seq_13679	1142
seq_13680	1082
seq_13681	1143
seq_13682	871
seq_13683	879
seq_13684	676
seq_13685	1126
seq_13686	1144
seq_13687	1145
seq_13688	677
seq_13689	773
seq_13690	969
seq_13691	1146
seq_13692	1147
seq_13693	1148
seq_13694	698
seq_13695	814
seq_13696	1149
seq_13697	1150
seq_13698	1150
seq_13699	1151
seq_137	25
seq_13700	1152
seq_13701	1153
seq_13702	970
seq_13703	1154
seq_13704	856
seq_13705	1155
seq_13706	794
seq_13707	1156
seq_13708	1046
seq_13709	675
seq_13710	1157
seq_13712	420
seq_13713	667
seq_13714	1158
seq_13715	687
seq_13716	1159
seq_13717	991
seq_13718	1160
seq_13719	543
seq_13720	765
seq_13721	793
seq_13722	1161
seq_13723	1162
seq_13724	858
seq_13725	1163
seq_13726	165
seq_13727	766
seq_13728	1125
seq_13729	767
seq_13730	1128
seq_13731	1164
seq_13732	1165
seq_13733	1166
seq_13734	1167
seq_13735	1033
seq_13736	787
seq_13737	981
seq_13738	709
seq_13739	1046
seq_13740	1168
seq_13741	420
seq_13742	1169
seq_13743	1170
seq_13744	986
seq_13745	720
seq_13746	1171
seq_13747	921
seq_13748	1172
seq_13749	687
seq_13750	1173
seq_13751	1174
seq_13752	1175
seq_13753	1176
seq_13754	1177
seq_13755	1178
seq_13756	839
seq_13757	1050
seq_13758	847
seq_13759	1179
seq_13760	1180
seq_13761	1181
seq_13762	1182
seq_13763	996
seq_13764	1183
seq_13765	860
seq_13766	1184
seq_13767	869
seq_13768	1185
seq_13769	999
seq_13770	1186
seq_13771	873
seq_13772	1187
seq_13773	1081
seq_13774	1188
seq_13775	1189
seq_13776	823
seq_13777	778
seq_13778	691
seq_13779	420
seq_13780	420
seq_13781	904
seq_13782	1190
seq_13783	1191
seq_13784	1097
seq_13785	1192
seq_13786	737
seq_13787	1193
seq_13788	1194
seq_13789	1195
seq_13790	859
seq_13791	1164
seq_13792	1196
seq_13793	1197
seq_13794	1198
seq_13795	1199
seq_13796	1200
seq_13797	726
seq_13798	1076
seq_13799	1201
seq_13800	1202
seq_13801	1190
seq_13802	1203
seq_13803	1204
seq_13804	1185
seq_13805	719
seq_13806	1205
seq_13807	966
seq_13808	924
seq_13809	972
seq_13810	779
seq_13811	830
seq_13812	706
seq_13813	1206
seq_13814	1207
seq_13815	1208
seq_13816	1209
seq_13817	1210
seq_13818	852
seq_13819	1211
seq_13820	751
seq_13822	1212
seq_13823	1213
seq_13824	1214
seq_13827	1215
seq_13828	1216
seq_13829	858
seq_13831	1217
seq_13832	1217
seq_13833	765
seq_13834	1218
seq_13836	1066
seq_13837	774
seq_13838	1216
seq_13841	1219
seq_13842	1220
seq_13843	1221
seq_13844	1222
seq_13847	1223
seq_13848	746
seq_13849	755
seq_13850	1224
seq_13851	1225
seq_13852	1226
seq_13853	1145
seq_13854	1227
seq_13855	1228
seq_13856	1229
seq_13857	1230
seq_13858	1219
seq_13859	1231
seq_13860	929
seq_13861	1232
seq_13862	1233
seq_13863	1234
seq_13865	756
seq_13866	1235
seq_13867	718
seq_13868	1236
seq_13869	976
seq_13870	855
seq_13871	1237
seq_13872	1217
seq_13873	1238
seq_13876	1239
seq_13877	1176
seq_13878	1240
seq_13880	1220
seq_13881	871
seq_13882	928
seq_13883	693
seq_13884	1212
seq_13885	1241
seq_13886	833
seq_13887	1242
seq_13889	1243
seq_1389	13
seq_13890	1244
seq_13891	1230
seq_13892	1233
seq_13893	1245
seq_13894	1076
seq_13895	1246
seq_13896	878
seq_13897	1247
seq_13898	1216
seq_13901	671
seq_13902	680
seq_13903	1248
seq_13904	1238
seq_13905	1249
seq_13906	1250
seq_13907	1096
seq_13909	1118
seq_13910	1251
seq_1393	9
seq_1397	117
seq_140	26
seq_1401	210
seq_1403	211
seq_1408	212
seq_141	27
seq_1413	211
seq_1415	213
seq_1425	214
seq_143	28
seq_1432	215
seq_1438	216
seq_144	29
seq_1447	124
seq_1448	217
seq_146	30
seq_1470	218
seq_1476	219
seq_149	31
seq_1492	220
seq_15	0
seq_1504	61
seq_1515	21
seq_1522	147
seq_1539	221
seq_1549	222
seq_1550	223
seq_156	32
seq_1563	101
seq_1570	224
seq_1581	151
seq_1589	225
seq_159	33
seq_1596	226
seq_1613	227
seq_1619	82
seq_162	34
seq_1627	120
seq_1647	228
seq_1648	229
seq_1650	230
seq_1665	231
seq_1666	232
seq_167	35
seq_168	36
seq_1692	84
seq_170	37
seq_1710	233
seq_1712	220
seq_1724	234
seq_1738	20
seq_174	38
seq_1755	101
seq_1763	235
seq_1765	236
seq_1769	237
seq_1773	22
seq_1788	238
seq_1805	239
seq_1807	240
seq_1813	241
seq_1824	242
seq_184	36
seq_1842	243
seq_1853	244
seq_1859	44
seq_186	39
seq_1874	245
seq_1876	246
seq_1884	247
seq_1886	248
seq_19	1
seq_1903	73
seq_1904	249
seq_1907	250
seq_1908	251
seq_1917	45
seq_1922	252
seq_1934	253
seq_1943	254
seq_1945	255
seq_1953	256
seq_1954	257
seq_1957	63
seq_1959	258
seq_1968	9
seq_1974	259
seq_1976	260
seq_2000	261
seq_2008	262
seq_2009	263
seq_2011	264
seq_202	40
seq_2020	265
seq_2027	266
seq_2028	267
seq_203	41
seq_2036	268
seq_2037	269
seq_204	42
seq_2062	130
seq_2066	270
seq_2074	271
