SequenceID	ClusterID
seq_10530	4089
seq_10531	4929
seq_10532	4957
seq_10533	3583
seq_10534	4932
seq_10535	4934
seq_10536	2145
seq_10537	3584
seq_10538	4958
seq_10539	4959
seq_1054	805
seq_10540	498
seq_10541	505
seq_10542	2923
seq_10543	907
seq_10544	4747
seq_10545	2926
seq_10546	1156
seq_10547	4945
seq_10548	2927
seq_10549	4960
seq_1055	450
seq_10550	4961
seq_10551	2949
seq_10552	2540
seq_10553	834
seq_10554	4948
seq_10555	2541
seq_10556	4648
seq_10557	4962
seq_10558	4963
seq_10559	500
seq_1056	806
seq_10560	4914
seq_10561	4918
seq_10562	4299
seq_10563	2012
seq_10564	4964
seq_10565	4932
seq_10566	4933
seq_10567	419
seq_10568	4965
seq_10569	4094
seq_1057	1
seq_10570	1293
seq_10571	836
seq_10572	169
seq_10573	1294
seq_10574	2949
seq_10575	2950
seq_10576	509
seq_10577	509
seq_10578	2154
seq_10579	510
seq_1058	807
seq_10580	4966
seq_10581	4967
seq_10582	4967
seq_10583	510
seq_10584	4968
seq_10585	910
seq_10586	510
seq_10587	2952
seq_10588	910
seq_10589	171
seq_1059	808
seq_10590	2956
seq_10591	1304
seq_10592	2961
seq_10593	2963
seq_10594	4969
seq_10595	1297
seq_10596	2954
seq_10597	4440
seq_10598	2243
seq_10599	3017
seq_106	14
seq_1060	348
seq_10600	2155
seq_10601	248
seq_10602	2544
seq_10603	183
seq_10604	4096
seq_10605	4970
seq_10606	1316
seq_10607	512
seq_10608	2974
seq_10609	2195
seq_1061	809
seq_10610	987
seq_10611	532
seq_10612	990
seq_10613	4300
seq_10614	1768
seq_10615	1324
seq_10616	2983
seq_10617	4971
seq_10618	2543
seq_10619	4972
seq_1062	191
seq_10620	1157
seq_10621	1401
seq_10622	3083
seq_10623	1770
seq_10624	4973
seq_10625	1296
seq_10626	4097
seq_10627	4974
seq_10628	2962
seq_10629	14
seq_1063	281
seq_10630	188
seq_10631	4975
seq_10632	3588
seq_10633	2965
seq_10634	722
seq_10635	2996
seq_10636	4969
seq_10637	2546
seq_10638	249
seq_10639	523
seq_1064	810
seq_10640	4976
seq_10641	1297
seq_10642	1301
seq_10643	4977
seq_10644	250
seq_10645	1771
seq_10646	1350
seq_10647	911
seq_10648	3016
seq_10649	171
seq_1065	368
seq_10650	4302
seq_10651	4978
seq_10652	2018
seq_10653	4979
seq_10654	1355
seq_10655	248
seq_10656	4980
seq_10657	40
seq_10658	4576
seq_10659	596
seq_1066	811
seq_10660	3022
seq_10661	2955
seq_10662	2956
seq_10663	786
seq_10664	4096
seq_10665	2957
seq_10666	4970
seq_10667	3593
seq_10668	4981
seq_10669	2333
seq_1067	369
seq_10670	2975
seq_10671	3030
seq_10672	730
